BioFreedom 2.50 x 14 mm (W16120110D);08888893014470;W16120110D;2018-12-15;2
BioFreedom 2.50 x 18 mm (W16090162);08888893014487;W16090162;2018-03-14;2
BioFreedom 2.50 x 24 mm (W17100299H);08888893014494;W17100299H;2019-04-30;1
BioFreedom 3.00 x 14 mm (W16090166);08888893014630;W16090166;2018-03-14;1
BioFreedom 3.00 x 14 mm (W16100629);08888893014630;W16100629;2018-04-30;1
BioFreedom 3.00 x 18 mm (W17010134D);08888893014647;W17010134D;2019-01-16;1
BioFreedom 3.00 x 24 mm (W16100141);08888893014654;W16100141;2018-04-12;1
BioFreedom 3.00 x 24 mm (W17010137);08888893014654;W17010137;2018-07-16;1
BioFreedom 3.50 x 14 mm (W15090485Z);08888893014715;W15090485Z;2018-02-11;1
BioFreedom 3.50 x 14 mm (W16080105);08888893014715;W16080105;2018-02-11;1
BioFreedom 3.50 x 18 mm (W16090137);08888893014722;W16090137;2018-03-14;1
BioFreedom 3.50 x 18 mm (W17030317D);08888893014722;W17030317D;2019-03-22;1
BioFreedom 3.50 x 24 mm (W17070120);08888893014739;W17070120;2019-01-10;1
BioFreedom 4.00 x 14 mm (W16100389);08888893014791;W16100389;2018-04-24;1
BioFreedom 4.00 x 18 mm (W16080103);08888893014807;W16080103;2018-02-11;1
BioFreedom 4.00 x 24 mm (W16080092);08888893014814;W16080092;2018-02-11;1
