Abbott MINI TREK 1.50 mm x 12 mm/RX (70809G1918433);08717648138096;70809G1;2020-07-31;1
Abbott MINI TREK 1.50 mm x 15 mm/RX (70526G1915172);08717648138102;70526G1;2020-04-30;0
Abbott MINI TREK 1.50 mm x 15 mm/RX (80209G1916244);08717648138102;80209G1;2021-01-31;2
Abbott MINI TREK 2.0 mm x 12 mm/RX (70222G1);08717648138140;70222G1;2031-01-20;-1
Abbott MINI TREK 2.0 mm x 12 mm/RX (71116G2914578);08717648138140;71116G2;2020-10-31;2
Abbott MINI TREK 2.0 mm x 12 mm/RX (80222G1916087);08717648138140;80222G1;2021-01-31;1
Abbott MINI TREK 2.0 mm x 12 mm/RX (80222G2917287);08717648138140;80222G2;2021-01-31;1
Abbott MINI TREK 2.0 mm x 15 mm/RX (70106G1);08717648138157;70106G1;2031-12-19;-1
Abbott MINI TREK 2.0 mm x 15 mm/RX (70513G1916291);08717648138157;70513G1;2020-04-30;-1
Abbott MINI TREK 2.0 mm x 15 mm/RX (70613G1915071);08717648138157;70613G1;2020-05-31;0
Abbott MINI TREK 2.0 mm x 15 mm/RX (71130G1914640);08717648138157;71130G1;2020-10-31;0
Abbott MINI TREK 2.0 mm x 15 mm/RX (80122G1916232);08717648138157;80122G1;2020-12-31;2
Abbott MINI TREK 2.0 mm x 15 mm/RX (80209G1917115);08717648138157;80209G1;2021-01-31;1
Abbott MINI TREK 2.0 mm x 15 mm/RX (80214G1913751);08717648138157;80214G1;2021-01-31;1
Abbott MINI TREK 2.0 mm x 15 mm/RX (80306G1914029);08717648138157;80306G1;2021-02-28;1
Abbott MINI TREK 2.0 mm x 20 mm/RX (70201G1);08717648138164;70201G1;2031-01-20;-1
Abbott MINI TREK 2.0 mm x 20 mm/RX (70329G1914987);08717648138164;70329G1;2020-02-29;0
Abbott MINI TREK 2.0 mm x 20 mm/RX (70411G1);08717648138164;70411G1;2031-03-20;0
Abbott MINI TREK 2.0 mm x 20 mm/RX (70622G1916401);08717648138164;70622G1;2020-05-31;0
Abbott MINI TREK 2.0 mm x 20 mm/RX (71205G1916169);08717648138164;71205G1;2020-11-30;1
Abbott MINI TREK 2.0 mm x 20 mm/RX (80305G1916572);08717648138164;80305G1;2021-02-28;1
Abbott MINI TREK 2.0 mm x 20 mm/RX (80307G1913082);08717648138164;80307G1;2021-02-28;1
Abbott MINI TREK 2.0 mm x 30 mm/RX (61213G1);08717648138188;61213G1;2030-11-19;-1
Abbott MINI TREK 2.0 mm x 30 mm/RX (70320G1);08717648138188;70320G1;2029-02-20;0
Abbott MINI TREK 2.0 mm x 30 mm/RX (70624G1915284);08717648138188;70624G1;2020-05-31;0
Abbott MINI TREK 2.0 mm x 30 mm/RX (71107G1913604);08717648138188;71107G1;2020-10-31;1
Abbott MINI TREK 2.0 mm x 30 mm/RX (80327G1913026);08717648138188;80327G1;2021-02-28;2
Abbott NC TREK 1.5 mm x 8 mm/RX (51110G1);08717648151583;51110G1;2031-10-18;1
Abbott NC TREK 2.5 mm x 12 mm/RX (61007G1);08717648151750;61007G1;2030-09-19;-1
Abbott NC TREK 2.5 mm x 12 mm/RX (71002G1915026);08717648151750;71002G1;2020-09-30;1
Abbott NC TREK 2.5 mm x 12 mm/RX (71028G2913308);08717648151750;71028G2;2020-09-30;1
Abbott NC TREK 2.5 mm x 15 mm/RX (80309G1913432);08717648151767;80309G1;2021-02-28;2
Abbott NC TREK 2.5 mm x 20 mm/RX (61001G1);08717648151774;61001G1;2030-09-19;-1
Abbott NC TREK 2.5 mm x 20 mm/RX (80108G1914155);08717648151774;80108G1;2020-12-31;1
Abbott NC TREK 2.5 mm x 20 mm/RX (80223G1913835);08717648151774;80223G1;2021-01-31;1
Abbott NC TREK 3.0 mm x 12 mm/RX (70826G2914654);08717648151866;70826G2;2020-07-31;1
Abbott NC TREK 3.0 mm x 12 mm/RX (71207G1913703);08717648151866;71207G1;2020-11-30;1
Abbott NC TREK 3.0 mm x 15 mm/RX (70509G1913589);08717648151873;70509G1;2020-04-30;-1
Abbott NC TREK 3.0 mm x 15 mm/RX (70516G1915191);08717648151873;70516G1;2020-04-30;-1
Abbott NC TREK 3.0 mm x 15 mm/RX (70812G1914473);08717648151873;70812G1;2020-07-31;1
Abbott NC TREK 3.0 mm x 15 mm/RX (80115G2913437);08717648151873;80115G2;2020-12-31;2
Abbott NC TREK 3.0 mm x 15 mm/RX (80228G1914202);08717648151873;80228G1;2021-01-31;1
Abbott NC TREK 3.0 mm x 15 mm/RX (80310G1914506);08717648151873;80310G1;2021-02-28;1
Abbott NC TREK 3.0 mm x 20 mm/RX (70202G2);08717648151880;70202G2;2031-01-20;-1
Abbott NC TREK 3.0 mm x 20 mm/RX (71023G1913317);08717648151880;71023G1;2020-09-30;1
Abbott NC TREK 3.0 mm x 20 mm/RX (80122G1913027);08717648151880;80122G1;2020-12-31;2
Abbott NC TREK 3.0 mm x 8 mm/RX (71218G1913544);08717648151859;71218G1;2020-11-30;1
Abbott NC TREK 3.5 mm x 12 mm/RX (80309G1914272);08717648151972;80309G1;2021-02-28;1
Abbott NC TREK 3.5 mm x 15 mm/RX (70105G2);08717648151989;70105G2;2031-12-19;-1
Abbott NC TREK 3.5 mm x 15 mm/RX (70327G1);08717648151989;70327G1;2029-02-20;1
Abbott NC TREK 3.5 mm x 15 mm/RX (70509G1);08717648151989;70509G1;2030-04-20;1
Abbott NC TREK 3.5 mm x 15 mm/RX (80205G1914640);08717648151989;80205G1;2021-01-31;1
Abbott NC TREK 3.5 mm x 15 mm/RX (80223G1914500);08717648151989;80223G1;2021-01-31;1
Abbott NC TREK 3.5 mm x 20 mm/RX (70203G1);08717648151996;70203G1;2031-01-20;-1
Abbott NC TREK 3.5 mm x 20 mm/RX (70629G1914507);08717648151996;70629G1;2020-05-31;1
Abbott NC TREK 3.5 mm x 20 mm/RX (80131G1914969);08717648151996;80131G1;2020-12-31;1
Abbott NC TREK 3.5 mm x 8 mm/RX (70925G1913511);08717648151965;70925G1;2020-08-31;-1
Abbott NC TREK 3.5 mm x 8 mm/RX (71218G1913478);08717648151965;71218G1;2020-11-30;2
Abbott NC TREK 4.0 mm x 12 mm/RX (71002G1914862);08717648152061;71002G1;2020-09-30;1
Abbott NC TREK 4.0 mm x 12 mm/RX (71130G1914062);08717648152061;71130G1;2020-10-31;1
Abbott NC TREK 4.0 mm x 15 mm/RX (70804G1913111);08717648152078;70804G1;2020-07-31;1
Abbott NC TREK 4.0 mm x 15 mm/RX (71004G1913416);08717648152078;71004G1;2020-09-30;1
Abbott NC TREK 4.0 mm x 20 mm/RX (70112G1);08717648152085;70112G1;2031-12-19;-1
Abbott NC TREK 4.0 mm x 20 mm/RX (70303G1914750);08717648152085;70303G1;2020-02-29;1
Abbott NC TREK 4.0 mm x 20 mm/RX (70831G1914349);08717648152085;70831G1;2020-07-31;1
Abbott NC TREK 4.5 mm x 12 mm/RX (70731G1913056);08717648152108;70731G1;2020-06-30;1
Abbott NC TREK 4.5 mm x 12 mm/RX (80206G1914903);08717648152108;80206G1;2021-01-31;1
Abbott NC TREK 4.5 mm x 15 mm/RX (70720G1913937);08717648152115;70720G1;2020-06-30;1
Abbott NC TREK 4.5 mm x 15 mm/RX (70908G1913544);08717648152115;70908G1;2020-08-31;1
Abbott NC TREK 4.5 mm x 20 mm/RX (60520G1);08717648152122;60520G1;2030-04-19;1
Abbott NC TREK 4.5 mm x 8 mm/RX (71206G1913766);08717648152092;71206G1;2020-11-30;1
Abbott NC TREK 5.0 mm x 12 mm/RX (61219G1);08717648152146;61219G1;2030-11-19;1
Abbott NC TREK 5.0 mm x 12 mm/RX (80124G1913278);08717648152146;80124G1;2020-12-31;1
Abbott NC TREK 5.0 mm x 15 mm/RX (70612G1913797);08717648152153;70612G1;2020-05-31;1
Abbott NC TREK 5.0 mm x 8 mm/RX (60705G1);08717648152139;60705G1;2030-06-19;1
Abbott TREK 2.50 mm x 08 mm/RX (61012G1);08717648138270;61012G1;2030-09-19;1
Abbott TREK 2.50 mm x 08 mm/RX (70318G1915960);08717648138270;70318G1;2020-02-29;2
Abbott TREK 2.50 mm x 12 mm/RX (70418G1914015);08717648138287;70418G1;2020-03-31;0
Abbott TREK 2.50 mm x 12 mm/RX (70519G1913373);08717648138287;70519G1;2020-04-30;0
Abbott TREK 2.50 mm x 12 mm/RX (70713G1916349);08717648138287;70713G1;2020-06-30;0
Abbott TREK 2.50 mm x 12 mm/RX (80123G1914713);08717648138287;80123G1;2020-12-31;2
Abbott TREK 2.50 mm x 12 mm/RX (80130G1913594);08717648138287;80130G1;2020-12-31;1
Abbott TREK 2.50 mm x 12 mm/RX (80201G1914782);08717648138287;80201G1;2021-01-31;1
Abbott TREK 2.50 mm x 15 mm/RX (70410G1);08717648138294;70410G1;2031-03-20;-1
Abbott TREK 2.50 mm x 15 mm/RX (70515G1913450);08717648138294;70515G1;2020-04-30;-1
Abbott TREK 2.50 mm x 15 mm/RX (70517G1913157);08717648138294;70517G1;2020-04-30;-1
Abbott TREK 2.50 mm x 15 mm/RX (70607G2916513);08717648138294;70607G2;2020-05-31;0
Abbott TREK 2.50 mm x 15 mm/RX (70616G1916788);08717648138294;70616G1;2020-05-31;0
Abbott TREK 2.50 mm x 15 mm/RX (70826G1917308);08717648138294;70826G1;2020-07-31;0
Abbott TREK 2.50 mm x 15 mm/RX (71004G1914026);08717648138294;71004G1;2020-09-30;-2
Abbott TREK 2.50 mm x 15 mm/RX (71114G1913566);08717648138294;71114G1;2020-10-31;0
Abbott TREK 2.50 mm x 15 mm/RX (71125G1913306);08717648138294;71125G1;2020-10-31;1
Abbott TREK 2.50 mm x 15 mm/RX (71130G1913625);08717648138294;71130G1;2020-10-31;0
Abbott TREK 2.50 mm x 15 mm/RX (71207G1914103);08717648138294;71207G1;2020-11-30;-1
Abbott TREK 2.50 mm x 15 mm/RX (80118G2916359);08717648138294;80118G2;2020-12-31;-1
Abbott TREK 2.50 mm x 15 mm/RX (80216G1914146);08717648138294;80216G1;2021-01-31;1
Abbott TREK 2.50 mm x 15 mm/RX (80219G1916878);08717648138294;80219G1;2021-01-31;5
Abbott TREK 2.50 mm x 15 mm/RX (80322G1914089);08717648138294;80322G1;2021-02-28;1
Abbott TREK 2.50 mm x 15 mm/RX (80402G1913822);08717648138294;80402G1;2021-03-31;1
Abbott TREK 2.50 mm x 20 mm/RX (70530G1916129);08717648138300;70530G1;2020-04-30;0
Abbott TREK 2.50 mm x 20 mm/RX (70629G1914827);08717648138300;70629G1;2020-05-31;0
Abbott TREK 2.50 mm x 20 mm/RX (70719G1914884);08717648138300;70719G1;2020-06-30;0
Abbott TREK 2.50 mm x 20 mm/RX (71106G1916034);08717648138300;71106G1;2020-10-31;0
Abbott TREK 2.50 mm x 20 mm/RX (80105G1915049);08717648138300;80105G1;2020-12-31;-1
Abbott TREK 2.50 mm x 20 mm/RX (80111G1913248);08717648138300;80111G1;2020-12-31;-3
Abbott TREK 2.50 mm x 20 mm/RX (80115G2914389);08717648138300;80115G2;2020-12-31;1
Abbott TREK 2.50 mm x 20 mm/RX (80207G1914057);08717648138300;80207G1;2021-01-31;2
Abbott TREK 2.50 mm x 20 mm/RX (80209G1913982);08717648138300;80209G1;2021-01-31;2
Abbott TREK 2.50 mm x 20 mm/RX (80305G1916091);08717648138300;80305G1;2021-02-28;1
Abbott TREK 2.50 mm x 20 mm/RX (80309G1914511);08717648138300;80309G1;2021-02-28;2
Abbott TREK 2.50 mm x 30 mm/RX (70203G1);08717648138324;70203G1;2031-01-20;-2
Abbott TREK 2.50 mm x 30 mm/RX (70405G1913779);08717648138324;70405G1;2020-03-31;0
Abbott TREK 2.50 mm x 30 mm/RX (70615G1914963);08717648138324;70615G1;2020-05-31;0
Abbott TREK 2.50 mm x 30 mm/RX (71117G1913075);08717648138324;71117G1;2020-10-31;0
Abbott TREK 2.50 mm x 30 mm/RX (71128G1914026);08717648138324;71128G1;2020-10-31;1
Abbott TREK 2.50 mm x 30 mm/RX (80108G1915584);08717648138324;80108G1;2020-12-31;1
Abbott TREK 2.50 mm x 30 mm/RX (80316G1914545);08717648138324;80316G1;2021-02-28;1
Abbott TREK 3.0 mm x 08 mm/RX (50827G1);08717648138416;50827G1;2031-07-18;1
Abbott TREK 3.0 mm x 12 mm/RX (70426G1915647);08717648138423;70426G1;2020-03-31;1
Abbott TREK 3.0 mm x 12 mm/RX (71017G1916837);08717648138423;71017G1;2020-09-30;1
Abbott TREK 3.0 mm x 15 mm/RX (70306G1);08717648138430;70306G1;2029-02-20;-2
Abbott TREK 3.0 mm x 15 mm/RX (71109G1914737);08717648138430;71109G1;2020-10-31;0
Abbott TREK 3.0 mm x 15 mm/RX (80226G1913955);08717648138430;80226G1;2021-01-31;2
Abbott TREK 3.0 mm x 15 mm/RX (80407G1914052);08717648138430;80407G1;2021-03-31;2
Abbott TREK 3.0 mm x 20 mm/RX (70127G1);08717648138447;70127G1;2031-12-19;-1
Abbott TREK 3.0 mm x 20 mm/RX (70717G1913559);08717648138447;70717G1;2020-06-30;0
Abbott TREK 3.0 mm x 20 mm/RX (80209G1913861);08717648138447;80209G1;2021-01-31;2
Abbott TREK 3.0 mm x 20 mm/RX (80214G2914730);08717648138447;80214G2;2021-01-31;1
Abbott TREK 3.0 mm x 30 mm/RX (61012G1);08717648138461;61012G1;2030-09-19;0
Abbott TREK 3.0 mm x 30 mm/RX (70130G1913593);08717648138461;70130G1;2019-12-31;0
Abbott TREK 3.0 mm x 30 mm/RX (70328G1915465);08717648138461;70328G1;2020-02-29;1
